Date,SPY,GLD,AMZN,GOOG,KPTI,GILD,MPC
2019-05-30,0.002727473,0.006761237,-0.001578868,0.001333677,-0.042343327,-0.000473503,-0.039130924
2019-05-31,-0.013566904,0.013386857,-0.022972618,-0.012891856,-0.024519677,-0.017358508,-0.024061288
2019-06-03,-0.00254613,0.014329651,-0.047520884,-0.063015643,-0.050920042,0.021926539,0.024485746
2019-06-04,0.021474403,0.000319675,0.02154813,0.016101654,0.00558136,0.010785546,0.028447862
2019-06-05,0.008624848,0.002553666,0.005155598,-0.010337736,0.012903437,0.001863976,-0.016635922
2019-06-06,0.006481622,0.003262354,0.009081437,0.002032049,-0.005509694,-0.011079194,0.008560442
2019-06-07,0.009957305,0.005624438,0.027918958,0.020565811,0.0450121,0.025102015,-0.023347297
2019-06-10,0.004578439,-0.010003215,0.030892075,0.01336195,0.036304772,0.011713898,0.01457718
2019-06-11,-0.000242294,-0.001197569,0.00164859,-0.00153771,-0.057657877,-0.000302591,0.001885808
2019-06-12,-0.001766805,0.0051791,-0.004506574,-0.001567846,-0.023658996,0.010234892,-0.016888711
2019-06-13,0.004117769,0.006100694,0.008041713,0.010841357,0.057260752,0.003139706,0.01960641
2019-06-14,-0.00110558,-0.000316013,-0.000336904,-0.003146144,-0.006980824,-0.009448848,0.001251775
2019-06-17,0.000380158,-0.000632265,0.008712138,0.006566155,0.047872344,0.011089547,0.015517018
2019-06-18,0.010416578,0.005047324,0.00810057,0.010108893,-0.013445568,0.016260499,0.018912619
2019-06-19,0.002254651,0.006038971,0.003894878,-0.00115146,0.005063337,0.000879455,0.000402829
2019-06-20,0.009508962,0.024866155,0.004912449,0.008212435,0.039609101,0.004531142,0.045081955
2019-06-21,-0.006306553,0.006613693,-0.003598338,0.009367337,0.039656268,0.011743485,0.013574419
2019-06-24,-0.00122519,0.014741593,0.001359393,-0.005685172,-0.014095719,-0.007813684,-0.020334508
2019-06-25,-0.009856359,0.001939245,-0.018791907,-0.026497251,-0.073622818,-0.005243137,-0.004078054
2019-06-26,-0.000997913,-0.009207654,0.010359954,-0.006047547,0.028453816,-0.026636718,0.053421787
2019-06-27,0.003539701,-0.000978179,0.003392895,-0.00351612,0.011484978,0.005980902,0.002947135
2019-06-28,0.005132603,0.002706366,-0.005608375,0.004543546,-0.023103395,0.007130092,0.027394042
2019-07-01,0.009037549,-0.019559428,0.014969506,0.01564145,-0.056667509,0.003988546,-0.013693946
2019-07-02,0.00260092,0.021134814,0.006285573,0.012040748,0.144513294,0.014780316,-0.011495378
2019-07-03,0.007963334,0.001647703,0.002421672,0.009252858,0.307664568,0.002321586,-0.003124752
2019-07-05,-0.001138521,-0.011212861,0.002014491,0.008885327,-0.00971424,-0.006834917,0.010074254
2019-07-08,-0.005509973,-0.006453396,0.004831515,-0.01355928,-0.054824253,-0.01544028,-0.009706125
2019-07-09,0.001245754,0.003497622,0.018261645,0.007567461,-0.045378768,0.003993152,0.005505597
2019-07-10,0.004766652,0.015664164,0.014534501,0.013817335,-0.022843611,-0.004289644,0.00620327
2019-07-11,0.002341492,-0.008479433,-0.008132517,0.003265199,-0.023377666,-0.019005385,0.008331856
2019-07-12,0.00446696,0.006235244,0.0049501,0.00060291,0.053721305,0.001056998,0.000721257
2019-07-15,0.000332578,0,0.004955375,0.004740203,0.045047166,0.026950154,-0.011785064
2019-07-16,-0.003230487,-0.008498565,-0.005502504,0.002812591,-0.060103898,-0.016739851,0.015383499
2019-07-17,-0.006828279,0.016331234,-0.008930748,-0.006287152,-0.003799844,-0.000298883,-0.024912624
2019-07-18,0.003654215,0.014019221,-0.007118546,-1.75E-05,0.060325952,0.004324184,0.019148925
2019-07-19,-0.005570394,-0.014836918,-0.006787738,-0.014259394,-0.008398333,-0.032819553,-0.002169963
2019-07-22,0.002453428,-0.000148775,0.010688296,0.007027695,0.003607909,-0.002000728,-0.00036213
2019-07-23,0.007124626,-0.005668655,0.004452127,0.007127015,0.056024041,0.022695328,0.008834419
2019-07-24,0.004688534,0.005073447,0.003163754,-0.0073554,0.009039601,0.003607909,0.033710064
2019-07-25,-0.004788525,-0.007095119,-0.013581404,-0.005013437,-0.036659391,-0.004813482,-0.019629073
2019-07-26,0.006677687,0.001647579,-0.015711796,0.099379548,0.012753867,0.009006343,0.005999668
2019-07-29,-0.001822853,0.006637601,-0.015873812,-0.008836037,-0.003462287,0.014096302,-0.012035549
2019-07-30,-0.002457706,0.003339374,-0.007305199,-0.011580352,0.026242293,-0.011559204,0.015723306
2019-07-31,-0.011000725,-0.013199707,-0.016864881,-0.006929253,-0.007914082,-0.023679559,-0.011636236
2019-08-01,-0.008746055,0.023738203,-0.006157878,-0.006324031,0,-0.000763347,-0.018434505
2019-08-02,-0.007558002,-0.003819353,-0.017442026,-0.012501219,-0.060837523,-0.007974345,-0.031935209
2019-08-05,-0.030534562,0.013885008,-0.032390788,-0.035523377,-0.054536445,-0.024784939,-0.05658813
2019-08-06,0.013925492,0.008095529,0.012778225,0.015183716,0.055742018,0.00973777,-0.02154478
2019-08-07,0.00059056,0.015075487,0.003110704,0.003447224,0.047067466,-0.001564187,-0.029883498
2019-08-08,0.019430085,0.005022054,0.021780691,0.025905423,0.047146788,0.014607853,0.028470932
2019-08-09,-0.00683483,-0.003321684,-0.013905054,-0.014033972,-0.028923066,0.006458552,-0.023083469
2019-08-12,-0.012248037,0.009651774,-0.012615289,-0.011258371,-0.014781408,-0.019502218,-0.043071909
2019-08-13,0.015432019,-0.005977347,0.021844638,0.019022706,0.013652185,0.004989151,0.017112782
2019-08-14,-0.030013509,0.006818297,-0.034224067,-0.027932489,-0.030983598,-0.018522019,-0.054927739
2019-08-15,0.002638292,0.006632923,0.007437015,0.002547638,0.025317839,-0.003968574,0.017105836
2019-08-16,0.014647209,-0.006422796,0.009219107,0.008819318,0.030220487,0.004285388,0.017900493
2019-08-19,0.011975712,-0.011765243,0.01305204,0.017550566,0.01856963,0.015245894,0.03382222
2019-08-20,-0.007692048,0.007765153,-0.008149314,-0.013237559,-0.001082862,-0.010505812,-0.023062487
2019-08-21,0.008102547,-0.003169437,0.012226648,0.007211721,0.008630137,0.010817675,0.01085691
2019-08-22,-0.000307884,-0.002542738,-0.010407461,-0.00144488,-0.016242974,0.001402477,-0.007224854
2019-08-23,-0.026023122,0.019400436,-0.030973609,-0.032675209,-0.051523158,-0.026988191,-0.02439411
2019-08-26,0.010997733,0.000138745,0.010942303,0.015171506,0.020478566,0.007808209,0.006100293
2019-08-27,-0.003931346,0.00952523,-0.003987905,-0.000898734,-0.021628679,0.00490859,-0.015541498
2019-08-28,0.007016909,-0.002820513,0.001372654,0.002719321,0.023878343,0.005198878,0.021820634
2019-08-29,0.012692044,-0.007190356,0.012476764,0.018470201,0.011173343,0.00172699,0.047010436
2019-08-30,-0.000444334,-0.002570572,-0.005675494,-0.003990009,-0.040821955,-0.003299541,0.013296661
2019-09-03,-0.00586439,0.013817146,0.00759927,-0.016728627,-0.040147085,-0.009011201,0.008700112
2019-09-04,0.011286478,0.006224182,0.006004836,0.011081924,0.027333792,0.004752849,0.020339694
2019-09-05,0.01277346,-0.02429384,0.022025736,0.02505154,0.102425391,0.012408816,0.035295494
2019-09-06,0.000771915,-0.008559662,-0.003924616,-0.005338691,0.013662863,0.011794087,-0.000190535
2019-09-09,0.000503227,-0.00374148,-0.001178781,-0.00043167,0.011416799,0.023028118,0.020934297
2019-09-10,-0.000234794,-0.008594766,-0.005914706,0.001319249,0.062019956,0.011243653,0.016657755
2019-09-11,0.007085812,0.006045366,0.001339325,0.011681131,0.008691431,0.014797547,-0.006814631
2019-09-12,0.003457823,0.002054249,0.011215082,0.011473269,0.01715965,-0.025589037,-0.01714864
2019-09-13,-0.000664073,-0.00831364,-0.002286294,0.004293027,0.04165339,0.002408129,0.001878331
2019-09-16,-0.003093533,0.00831364,-0.017274049,-0.006685964,0.071709091,-0.00966774,-0.016651304
2019-09-17,0.002528815,0.00197935,0.008103903,-0.001747668,-0.015306447,0.004392297,0.018900582
2019-09-18,0.000597962,-0.006305142,-0.002796746,0.002648736,0.003421728,-0.006823849,0.006531673
2019-09-19,-6.65E-05,0.004042646,0.002220437,0.005098854,-0.033872135,0.003645172,0.002971768
2019-09-20,-0.009343327,0.011751169,-0.015123373,-0.007113183,-0.053527532,0.006949705,0.021648256
2019-09-23,-0.000234731,0.005580782,-0.004950469,0.003327959,-0.064476308,-0.010442695,0.012265672
2019-09-24,-0.007877755,0.005272992,-0.024776531,-0.012451304,-0.011497325,-0.017960507,-0.005392773
2019-09-25,0.005897336,-0.018719501,0.015225609,0.022521728,0.018924921,-0.005591823,0.080818881
2019-09-26,-0.00208535,-0.000282128,-0.016242438,-0.004123953,-0.02245047,-0.014117846,0.011406002
2019-09-27,-0.005401789,-0.005161728,-0.008305278,-0.013217449,-0.009123242,-0.006339129,0.025638238
2019-09-30,0.004627042,-0.015647106,0.006043934,-0.004983432,-0.020576839,0.007602183,-0.027118625
2019-10-01,-0.011966038,0.005457893,-0.000149794,-0.01146832,-0.041385254,-0.002527645,-0.00610914
2019-10-02,-0.01782257,0.011606023,-0.013001531,-0.023908106,0.065012495,-0.02563425,-0.019736387
2019-10-03,0.008159414,0.004520416,0.006510321,0.009473652,0.046612237,0.009850715,0.013423007
2019-10-04,0.013441359,0,0.00879317,0.017665496,0.017291527,0.005288927,0.012257925
2019-10-07,-0.004323993,-0.008563635,-0.004026138,-0.001092363,-0.001906622,0.002713677,-0.005613357
2019-10-08,-0.015646501,0.0087046,-0.015793628,-0.015479257,-0.091358076,-0.016717974,-0.009649082
2019-10-09,0.009451572,0.000915624,0.009616401,0.011022804,0.030375575,0.004689924,0.012294584
2019-10-10,0.006740719,-0.008767683,-0.001005145,0.005275863,0.013098436,0.020441446,0.022370088
2019-10-11,0.010313596,-0.00555477,0.006755197,0.005593721,0.020803132,0.011473656,0.02377452
2019-10-14,-0.001114387,0.00399115,0.002600667,0.001389518,-0.008862703,0.008093436,-0.004424767
2019-10-15,0.009851609,-0.006995002,0.017666914,0.021032009,0.033076961,0.012171799,0.014309603
2019-10-16,-0.001607324,0.005713915,0.005670304,0.00050671,0.000956502,0.000765334,-0.021462153
2019-10-17,0.002944738,0.001423365,0.005638265,0.007553922,0.037527821,-0.001837879,0.022242417
2019-10-18,-0.004386772,-0.001067306,-0.016908756,-0.006067478,-0.014842559,-0.004917786,0.01609445
2019-10-21,0.006756294,-0.00478155,0.015890074,0.000529799,0.040298542,0.004611066,-0.007241403
2019-10-22,-0.003272058,0.002928704,-0.011223922,-0.00269188,0.020436032,0.009918469,0.007855291
2019-10-23,0.002905361,0.002351028,-0.002018162,0.013054072,-0.023132725,0.010872973,0.010530466
2019-10-24,0.001632621,0.00709072,0.010505458,0.001476109,-0.00090043,-0.008749518,0.007260593
2019-10-25,0.004086625,0.00232896,-0.010982306,0.003277769,0.008075342,-0.041453512,0.024711047
2019-10-28,0.005620718,-0.00863723,0.008902363,0.019467331,0.00889689,0.006454172,-0.006342676
2019-10-29,-0.000296768,-0.002776885,-0.008119168,-0.021453295,0.02016732,-0.004403196,0.006489622
2019-10-30,0.003062563,0.00547521,0.009755365,-0.001053886,0.007782071,-0.004739333,-0.027272299
2019-10-31,-0.002666892,0.009948845,-0.001872524,-0.000936031,0.007722059,0.008828649,-0.034427891
2019-11-01,0.009221284,0.000912347,0.008284517,0.01075844,0.069334707,0.014801307,0.038649196
2019-11-04,0.004009656,-0.002880151,0.007352494,0.01374622,0.06034311,0.008469988,0.021874262
2019-11-05,-0.001106759,-0.016312332,-0.001636035,0.000510981,0.061860417,0.002756515,-0.022325677
2019-11-06,0.000227989,0.004281069,-0.003302282,-0.000178015,-0.010642145,0.000305876,-0.0330508
2019-11-07,0.003510557,-0.015643206,-0.00422441,0.013119886,0.031592645,-0.022417334,0.030186943
2019-11-08,0.002463087,-0.006384734,-0.001298206,0.00191587,0.017129572,0.021958486,-0.000301882
2019-11-11,-0.00191157,-0.002404824,-0.007999964,-0.00933144,0.037337635,-0.011382955,-0.007882476
2019-11-12,0.002105756,0.002695875,0.003577808,-0.000300149,0.010416751,-0.004962785,-0.01240346
2019-11-13,0.000323592,0.003994073,-0.014097792,-0.000616181,-0.022929235,-0.015511441,-0.010065923
2019-11-14,0.001454722,0.004194711,0.000849552,0.010316372,0.017408841,0.00755076,0.003107958
2019-11-15,0.007210321,-0.002529111,-0.008648936,0.017692915,0.015829815,0.019553669,0.003716986
2019-11-18,0.000737341,0.002962025,0.007468514,-0.010672043,-0.010309421,-0.012059496,-0.002321467
2019-11-19,-0.000288473,0.000504903,0.000148352,-0.003975477,0.010309421,0.010983158,-0.042573127
2019-11-20,-0.003725727,0.000504538,-0.004150575,-0.009478677,0.03866581,-0.001847902,-0.000808722
2019-11-21,-0.001610203,-0.005492097,-0.006218021,-0.001305539,-0.007117453,0.013016126,0.023033687
